,Age,Component 0,Component 1,Body mass index,ID,Cluster,Work load Average/day ,Social drinker,Social smoker,Absenteeism time in hours,counts,total absence time,Age_m,Component 0_m,Component 1_m,Body mass index_m,Work load Average/day _m,Absenteeism time in hours_m
0,33,0.7151058845095294,0.794720325189826,30,11,0,239.554,Yes,No,4,40,450,36.578125,0.10565875664128835,1.2796899547014813,26.3828125,259.3356484375,7.1484375
1,50,1.913825206867345,-0.2140729132606873,31,36,1,239.554,Yes,No,0,34,311,41.34090909090909,1.5850390635755987,0.4463598014237877,32.55681818181818,260.6151704545454,3.6704545454545454
2,38,1.277682628905428,0.0204879169816656,31,3,1,239.554,Yes,No,2,113,482,41.34090909090909,1.5850390635755987,0.4463598014237877,32.55681818181818,260.6151704545454,3.6704545454545454
3,39,-0.4314287094732755,0.304252438369672,24,7,3,239.554,Yes,Yes,4,6,30,39.198830409356724,0.07095061193473055,-0.1519199741541717,26.549707602339183,275.09769590643276,10.426900584795321
4,33,0.5130086515963579,0.7179047164110933,30,11,0,239.554,Yes,No,2,40,450,36.578125,0.10565875664128835,1.2796899547014813,26.3828125,259.3356484375,7.1484375
5,38,1.2277966328250245,0.114217679830344,31,3,1,239.554,Yes,No,2,113,482,41.34090909090909,1.5850390635755987,0.4463598014237877,32.55681818181818,260.6151704545454,3.6704545454545454
6,28,-0.9767069223891744,1.6826776696450023,27,10,4,239.554,Yes,No,8,24,186,29.689320388349515,-1.2120269769192848,0.7331292582905782,23.514563106796118,271.43825242718447,6.805825242718447
7,36,-0.307493034252732,1.0502815806761976,23,20,0,239.554,Yes,No,4,42,306,36.578125,0.10565875664128835,1.2796899547014813,26.3828125,259.3356484375,7.1484375
8,34,0.6237211673088484,-0.3174918448108324,25,14,3,239.554,Yes,No,40,29,476,39.198830409356724,0.07095061193473055,-0.1519199741541717,26.549707602339183,275.09769590643276,10.426900584795321
9,37,-0.4621363073736499,-0.1253908809244203,29,1,3,239.554,No,No,8,23,121,39.198830409356724,0.07095061193473055,-0.1519199741541717,26.549707602339183,275.09769590643276,10.426900584795321
10,36,-0.4093416717072651,0.9008015849371226,23,20,0,239.554,Yes,No,8,42,306,36.578125,0.10565875664128835,1.2796899547014813,26.3828125,259.3356484375,7.1484375
11,36,-0.3970852526079786,0.9294803238045206,23,20,0,239.554,Yes,No,8,42,306,36.578125,0.10565875664128835,1.2796899547014813,26.3828125,259.3356484375,7.1484375
12,36,-0.2744645348259552,0.7797095942307309,23,20,0,239.554,Yes,No,8,42,306,36.578125,0.10565875664128835,1.2796899547014813,26.3828125,259.3356484375,7.1484375
13,38,1.2586672067580196,-0.1567004730727385,31,3,1,239.554,Yes,No,1,113,482,41.34090909090909,1.5850390635755987,0.4463598014237877,32.55681818181818,260.6151704545454,3.6704545454545454
14,38,1.2785457991029407,0.0206263835647118,31,3,1,239.554,Yes,No,4,113,482,41.34090909090909,1.5850390635755987,0.4463598014237877,32.55681818181818,260.6151704545454,3.6704545454545454
15,41,0.2803886866084822,0.1943315404241414,23,24,3,239.554,Yes,No,8,30,254,39.198830409356724,0.07095061193473055,-0.1519199741541717,26.549707602339183,275.09769590643276,10.426900584795321
16,38,1.2277966328250245,0.114217679830344,31,3,1,239.554,Yes,No,2,113,482,41.34090909090909,1.5850390635755987,0.4463598014237877,32.55681818181818,260.6151704545454,3.6704545454545454
17,38,1.2160829944047744,-0.0736746274175549,31,3,1,239.554,Yes,No,8,113,482,41.34090909090909,1.5850390635755987,0.4463598014237877,32.55681818181818,260.6151704545454,3.6704545454545454
18,33,-0.6198600442291339,0.178608198023446,25,6,3,239.554,No,No,8,8,72,39.198830409356724,0.07095061193473055,-0.1519199741541717,26.549707602339183,275.09769590643276,10.426900584795321
19,47,0.7040157991515674,0.6284378555300824,32,33,0,205.917,No,No,2,24,73,36.578125,0.10565875664128835,1.2796899547014813,26.3828125,259.3356484375,7.1484375
